stw_ID,stw_Image_ID,stw_Section_ID,stw_Section_Name,stw_DateAdded,stw_Text,stw_isCurrent,stw_Images
17,INSGGB01,105,Galilee (Jesus) Boat,9/21/2003 11:30:33PM,"<p>In 1986 an ancient boat was discovered along the northwestern shore of the Sea of Galilee. The boat is a unique find measuring 25.5 ft. [8.2 m.] long with a breadth of 7.5 ft. [2.3 m.]. A boat of this size had a crew of five, and could carry about 15 additional persons. It is dated to the first century A.D.</p>
",False,"INSGGB01, INSGGB02, INSGGB06, INSGGB07"
20,INHVDN012,77,Dan,10/5/2003 10:08:26PM,"<p>Dan is the name of a town mentioned 27 times in the Old Testament. It was located on the northern boundary of Israel and appears in the well&#8211;known phrase ""from Dan to&#160;Beersheba.""</p>
",False,"INHVDNHR11, INHVDN012, INHVDNHR10, INHVDN02, IJIM04"
21,DLPLWH01,154,Wheat,10/9/2003 12:39:59PM,"<p>Wheat was grown throughout the Middle East wherever there was at least 12 inches of rainfall every year.&nbsp; Fields were plowed in the fall, after the early rains, and then sown immediately.&nbsp; The wheat grew during the rainy winter months and was harvested in the late spring/early summer.</p>
",False,"DLPLWH20, DLPLWH01, DLPLWH02, DLPLWH13, DLPLWH04"
23,TEETHN02,67,Haran,10/15/2003 11:17:40PM,<p>Haran (also Harran) is&nbsp;located&nbsp;in southern Turkey 28&nbsp;mi. [45 km.] south-southeast of Sanliurfa - about 56 mi. [90 km.] east of the Euphrates River.&nbsp; It is mentioned 11 times in the Old Testament [Hebrew Bible]. Abram settled here for a period of time on his way from Ur to the Land of Canaan (Genesis 11 and 12). <br /></p>,True,"TEETHN08, TEETHN02, TEETHN17"
32,TWMRISHS03,204,Hagia Sophia,11/30/2003 6:52:03PM,"<p>
	<strong>Istanbul, Turkey</strong>.&nbsp; For close to 1,000 years the Hagia Sophia (&quot;Holy Wisdom&quot;) church was one of the largest and most sacred spaces&nbsp;in Christendom.&nbsp; The current structure was built by Justinian and served as a Christian place of worship until Constantinople was captured by the Turk, Mehmet II on May 29, 1453.</p>
<p>
	Mehmet II immediately turned the building into a mosque and it served as one of the major mosques of Istanbul until the reforms of Atat&uuml;rk.&nbsp; It reopened in 1934 as a museum.</p>
",False,"TWMRISHS52, TWMRISHS02, TWMRISHS12, TWMRISHS13, TWMRISHS40"
33,TWMRISHS11,204,Hagia Sophia,11/30/2003 6:52:04PM,"<p>Istanbul, Turkey.&nbsp; For close to 1,000 years the Hagia Sophia (&quot;Holy Wisdom&quot;) church was one of the largest and most sacred in Christendom.&nbsp; The current structure was built by Justinian and served as a Christian place of worship until Constantinople was captured by the Turk, Mehmet II on May 29, 1453. <br />  </p>
<p>Mehmet II immediately turned the building into a mosque and it served as one of the major mosques of Istanbul until the reforms of Atat&uuml;rk.&nbsp; It reopened in 1934 as a museum.</p>",False,
35,TWNAAS05,55,Assos,12/28/2003 11:05:30PM,"<p align=""left"">Assos (modern <a href=""go.asp?img=TWNAAS15&amp;SiteID=46"" target=""_blank"">Behramkale</a>) is located on the northwestern coast of Turkey on the Aegean Sea.</p>
<p>The apostle Paul, on his third missionary journey, walked from Alexandria Troas to Assos, a distance of about 20 miles. At Assos he joined his companions, who had come from Troas by ship, and together they set sail for Mitylene, Kios, and eventually Miletus (Acts 20:15).</p>
<p><br /></p>",False,"TWNAAS27, TWNAAS05, TWNAAS24, TWNAAS01, TWNAAS18"
37,ISBNBS04,113,Beersheba (Beer Sheva),1/5/2004 3:26:45PM,"<p>The area of Beersheba is mentioned in association with Abraham, Isaac and Jacob. From the period of David onward,&nbsp;Beersheba served as a southern outpost for the Judean kings. Indeed, the ideal boundaries of the land of Israel were &quot;from&nbsp; <a href=""browse.asp?SiteID=70"" target=""_blank"">Dan</a> [in the north] to Beersheba [in the south].&quot; Beersheba is mentioned 34 times in the Bible.</p>
<p><br />Beersheba was the administrative capital of the Negev region.&nbsp; It was strategically placed, for it guarded the road that ran from Transjordan to Gaza on the Mediterranean Coast.&nbsp; It also guarded&nbsp; the route that proceeded from Beersheba&nbsp;into the Hebron area in the Hill Country of Judah.</p>",False,"ISBNBS01, ISBNBS12, ISBNBS04, ISBNBSHR05"
40,GSPLOM09,135,Olympia Museum,,"<p>The museum at Olympia contains &ldquo;world&ndash;class&rdquo; artifacts from the excavations of this Greek site&mdash;first by the French, but especially by the Germans.<a href=""go.asp?s=281"" target=""_blank""><br /></a></p>",False,
41,TWNAPG02,111,Pergamum Acropolis,,"<p align=""left"">Ancient Pergamum (modern Bergama) is located in western Turkey 16.5 mi. [26.5 km.] inland (as the crow flies) from the Aegean Sea.</p>
<p>It is the third city mentioned in the book of Revelation (1:1; 2:12&ndash;17) and the reference to the &quot;throne of Satan&quot; (2:13) has variously been interpreted as&nbsp;<a href=""go.asp?img=TWNAPG12&amp;SiteID=104"">emperor worship</a> (note the Temple of Trajan), the altar of Zeus, or the worship of a plethora of deities at Pergamum (temples to <span style=""text-decoration: underline;""></span><a href=""go.asp?img=TWNAPG06&amp;SiteID=104"">Zeus</a>,&nbsp;<a href=""go.asp?img=TWNAPG11&amp;SiteID=104"">Athena</a>,&nbsp;<a href=""go.asp?img=TWNAPG03&amp;SiteID=104"">Dionysus</a>, <a target=""_blank"" href=""browse.asp?SiteID=102"">Asclepius</a>,&nbsp;<a target=""_blank"" href=""browse.asp?SiteID=105"">Serapis</a>, Demeter, etc. have been found).</p>",False,"TWNAPG30, TWNAPG02, TWNAPG12, TWNAPG20"
44,GSATAC08,241,Parthenon,,"<p>
	Although at certain periods in ancient times the <a href=""go.asp?s=240"" target=""_blank"">Erechtheion</a> was the most important temple on the acropolis, the larger and more prominent Parthenon came to dominate the terrain.</p>
",False,"GSATAC02, GSATACAA01, GSATAC08, GSATAC09"
45,TCSCLY03,57,Lystra,,"<p>Lystra was a place visited by Paul and Barnabas on their first missionary journey (Acts 14:6, 8, 21). There they healed a crippled man. But when the local population tried to worship them as Hermes and Zeus - with <a href=""go.asp?img=TCSCPA14"" target=""_blank"">oxen and garlands</a> (Acts 14:11-13) - they refused the honor.</p>
",False,"TCSCLY02, TCSCLY04, TCSCLY09"
46,INLGNZ01,182,Nazareth,,"<p>Nazareth is located in the very southern portion of lower Galilee, about 16 mi. [25 km.] west of the southern tip of the Sea of Galilee.&nbsp; In Nazareth there are numerous Christian sites the commemorate events associated with Mary, Joseph, and Jesus.<br /></p>",False,"INLGNZ30, INLGNZ16"
50,IJNTHRDR01,318,Dome of the Rock & Central,,"<p>
	The Dome of the Rock was completed about A.D. 691 by the Moslem Umayyad Dynasty which was headquartered in Damascus. It was intended to portray the glories of Islam and to divert pilgrim traffic to Jerusalem - from Mecca and Medina.</p>
",False,"IJNTDR52, IJNTDR55, IJNTDR57, IJHRLO10"
52,TWCSSM04,106,Smyrna,,"<p>
	Smyrna (modern Izmir) is located on a deep sheltered bay of the Aegean Sea. It is located at the end of a very important ancient road which came from the east.</p>
<p>
	By the time of the early church, Smyrna was a center of emperor worship and a very close ally of Rome. It is the second of the seven churches that John addressed in the book of Revelation (1:11; 2:8&ndash;11).&nbsp; John prophesies about the persecution to come, and indeed Polycarp, who was burned for his faith in the stadium at Smyrna, is one of the first Christian martyrs (at the age of 86 in A.D. 156).</p>
",False,"TWCSSM10, TWCSSM02, TWCSSM03, TWCSSM05"
53,TWNATY01,82,Thyatira,,"<p>Thyatira, modern Akhisar, is located 42 mi.&nbsp; inland from the Aegean Sea. It is the fourth of the seven churches addressed by John (Revelation 2:18&ndash;29).</p>
<p>Visible archaeological remains are located in a fenced off rectangular city block. From coins it is evident that guilds of bakers, bronze smiths, wool workers, potters, linen weavers and tanners were active in the city. Such guilds would often hold banquets which included the eating of food offered to idols and participation in immoral sexual acts (cf. Rev. 2:20&ndash;24).</p>",False,
54,TWNAPH03,81,Philadelphia,,"<p>Philadelphia (modern Alashehir) is one of the seven churches that John addressed in the book of Revelation (3:7&ndash;13).&nbsp; It is located about 80 mi. east of Smyrna (Izmir) in western Turkey.<br /></p>
<p>In the ancient sources it was known for housing a number of temples and in A.D. 17 it was destroyed by a devastating earthquake. In Revelation 3:12 the believer who &quot;overcomes&quot; is compared to a pillar (stability) in the temple of God, and on him/it three names will be written &mdash; compare the names inscribed on the columns of the temple of Zeus at <a target=""_blank"" href=""go.asp?img=TWCSEU02&amp;SiteID=73"">Euromos</a>. </p>",False,"TWNAPH01, TWNAPH19, TWNAPH03"
55,TWSCLD18,107,Laodicea,,"<p>Laodicea is a very large mound located to the north of Denizli in Turkey.&nbsp; It is the last of the seven churches addressed in the book of Revelation (1:11; 3:14&ndash;22). In the letter there may be a number of allusions to the local setting of Laodicea: the lukewarm water, riches, gold, white garments, and eye salve!</p>",False,"TWSCLD30, TWSCLD18, TWSCLD01, TWSCLD03"
56,YRMAT01,403,Arch of Titus,,"<p>The Arch of Titus in Rome commemorates&nbsp; the procession that celebrated Titus&rsquo; capture of Jerusalem in A.D. 70.&nbsp; Artifacts taken from the Temple in Jerusalem are depicted-including the <span style=""font-style: italic;"">menorah.</span><br",False,"YRMAT07, YRMAT05, YRMAT01"
