section_ID,section_Parent_ID,section_Title,section_Text,section_Map_X,section_Map_Y,section_DateAdded,section_LastModified,section_SortOrder,section_Type_ID,section_Level,section_Image,section_Keywords,section_Notes,section_Old_ID,section_Old_Parent_ID
1,0,Browse by Countries,"<p>
	If you wish to browse this website by countries and regions, click on the left navigation bar.</p>
<p>
	To view all the ancient sites that are available, it may be more convenient to click on the &quot;<a href=""page.asp?page_ID=8"">Complete Site List</a>.&quot;</p>
",,,,,0,1,,,,,0,
2,1,Israel,"<p>As you look for sites within ""Israel"" please note the following with regard to geographical regions:</p>

<p>NORTH = the area including and north of the Jezreel and Harod Valleys. Regions included are: the <a href=""browse.asp?SubRegionID=27"">Golan Heights</a>; <a href=""browse.asp?SubRegionID=40"">Huleh Valley</a>; Upper Galilee; Plain of Acco; Lower Galilee; <a href=""browse.asp?SubRegionID=7"">Sea of Galilee</a>; <a href=""browse.asp?SubRegionID=35"">Jezreel Valley</a> and the Harod Valley.</p>

<p>CENTRAL = the area south of the Jezreel and Harod Valleys, but north of a line running from Gaza to Beersheba to Masada &#8212; on the shore of the Salt Sea. Regions included are: Mount Carmel; <a href=""browse.asp?SubRegionID=25"">Sharon Plain</a>; Philistine Plain; Hill Countries of Manasseh, <a href=""browse.asp?SubRegionID=43"">Ephraim</a>, <a href=""browse.asp?SubRegionID=44"">Benjamin</a>, and <a href=""browse.asp?SubRegionID=8"">Judah</a>; the western side of the <a href=""browse.asp?SubRegionID=26"">Jordan Valley</a>; the western side of the&#160;<a href=""go.asp?s=175"">Dead Sea</a> ; and the <a href=""browse.asp?SubRegionID=45"">Wilderness of Judah</a>. <a href=""browse.asp?SubRegionID=28"">Jerusalem</a> is a separate sub category.</p>

<p>SOUTH = the area south of a line running from Gaza to Beersheba to Masada, on the shore of the Salt Sea. Regions included are: the <a href=""browse.asp?SubRegionID=36"">Negev</a> and the Arabah &#8212; south of the&#160;<a href=""go.asp?s=175"">Dead Sea</a> &#160;down to Elath on the Red Sea.</p>

<p><span class=""Green"">A comment on the name ""Israel.""</span></p>

<p>The images included under this ""Israel"" category are sites and regions located within the territory controlled by the state of Israel and the Palestinian Authority in 2003. Thus for example, both Old and New Testament Jericho are included in this category, even though the Palestinians control the former, while the Israelis currently control the latter. In addition, a site like&#160;<a href=""go.asp?s=41"">Katzrin</a> , located on the Golan Heights, is included in this ""Israel"" category, even though Syria previously controlled this area (for a period of time).</p>

<p>It is the hope of the content provider of this site that peace will soon come to the region, so that the Palestinians and Israelis may live within secure and recognized borders, in the heart of an open and flourishing region where different religions and cultures will live together in tolerance, peace and mutual cooperation.</p>

<p>&#160;</p>

<p>&#160;</p>
",,,7/7/2001 12:00:00AM,,1,2,,IsraelNCS3.jpg,,,1,
3,1,Turkey,"<p align=""center""><span class=""Red"">Click on the highlighted names below to visit - or click on ""Site List"" and scroll down to Turkey.</span></p>

<p align=""left""><a href=""browse.asp?SiteID=58"">Alexandria Troas</a>,&#160;<a href=""go.asp?s=184"">Andriace (Andriake)</a>,&#160;<a href=""browse.asp?SiteID=54"">Aspendos</a>, <a href=""browse.asp?ImageID=TWNAAS02&amp;SiteID=46"">Assos</a>, <a href=""browse.asp?SiteID=55"">Colossae</a>,&#160;&#160;<a target=""_blank"" href=""http://holylandphotos.org/browse.asp?SubRegionID=34"">Central and Southern Aegean</a>, <a href=""browse.asp?SiteID=63"">Cilician Gates</a>, <a href=""browse.asp?SiteID=71"">Didyma</a>, <a href=""browse.asp?ImageID=TCSCDR01&amp;SiteID=47"">Derbe</a>, <a href=""browse.asp?SiteID=82"">Ephesus</a>, <a href=""browse.asp?SubRegionID=37"">Euphrates and Tigris Basins</a>,&#160;<a target=""_blank"" href=""http://holylandphotos.org/browse.asp?SiteID=73"">Euromos</a>, <a href=""browse.asp?SiteID=60"">Haran</a>,&#160;<a href=""go.asp?s=192"">Hierapolis</a>,&#160; <a href=""browse.asp?ImageID=TCSCKY01&amp;SiteID=49"">Konya/Iconium</a>,&#160;&#160;<a href=""browse.asp?SiteID=100"">Laodicea</a>, <a href=""browse.asp?SiteID=48"">Lystra</a>,&#160;<a target=""_blank"" href=""http://holylandphotos.org/browse.asp?SubRegionID=33"">Mediterranean Coast</a>,&#160;<a href=""browse.asp?SiteID=108"">Miletus</a>,&#160;<a href=""go.asp?s=185"">Myra</a>,&#160;<a target=""_blank"" href=""http://holylandphotos.org/browse.asp?SubRegionID=31"">North Aegean</a>,&#160;<a href=""go.asp?s=189"">Patara</a>, <a href=""browse.asp?SiteID=53"">Pisidian Antioch</a>, <a href=""browse.asp?SiteID=52"">Perge</a>,&#160;<a href=""browse.asp?SiteID=104"">Pergamum</a>, <a href=""browse.asp?SiteID=74"">Philadelphia</a>,&#160;<a href=""go.asp?s=133"">Priene</a>, <a href=""browse.asp?SiteID=61"">Sanliurfa</a>,&#160;<a href=""browse.asp?SiteID=99"">Smyrna/Izmir</a>, <a href=""browse.asp?SiteID=76"">Sardis</a>, <a href=""browse.asp?SiteID=62"">Tarsus</a>, <a href=""browse.asp?SiteID=75"">Thyatira</a>,&#160;<a href=""go.asp?s=190"">Xanthos</a></p>

<hr />
<p align=""center""><span class=""Blue"">Sites to be added include</span>:</p>

<p>Alacahuyuk, Andriake, Ankara, Antioch on the Orontes, Aphrodisias,&#160; Antalya, Bin Tepe, Black Sea Coast,&#160; Cappadocia, Culture,&#160; Hierapolis, Istanbul, Kremna, Knidos, Lambranda, Letoon, Magnesia on the Meander, Marmara Region, North Central Anatolia, Northeastern Anatolia, Nicea, Phaselis, Patara, &#160;South Central Anatolia, Sagalossos, Stratonikya, Termessos, Turquoise Coast, and Troy.</p>
",,,12/8/2001 12:00:00AM,,2,2,,TurkeyWCE.jpg,"Turkey, Western, Central, Eastern Map Maps, Turkei",,17,
4,1,Greece,"<p>We will be adding many more images from Greece.&nbsp;&nbsp;<a href=""register.asp"" target=""_blank"">Register here</a> to keep informed of updates.</p>
<p>To-date we have images from&nbsp;<a href=""browse.asp?SiteID=67"" target=""_blank"">Corinth</a>, &nbsp;the <a href=""browse.asp?SiteID=69"" target=""_blank"">Vicinity of Corinth</a>,&nbsp;&nbsp;<a href=""thumbs.asp?SiteID=88"">artifacts from Corinth</a>, the&nbsp;<a href=""browse.asp?ImageID=GISGEG03&amp;SiteID=72"">Temple of Aphaia</a> on the island of Aegina,&nbsp;<a href=""go.asp?s=283"" target=""_blank"">Thessalonica</a>&nbsp;<a href=""browse.asp?SiteID=118"">Amphipolis</a>,&nbsp;<a href=""http://holylandphotos.org/browse.asp?SiteID=109"">Berea</a> (Verria),&nbsp;<a href=""http://holylandphotos.org/browse.asp?SiteID=112"">Neapolis</a> (Kavala),&nbsp;<a href=""go.asp?s=329"" target=""_blank"">Philippi</a>, and the&nbsp;<a href=""http://holylandphotos.org/browse.asp?SiteID=117"">Via Egnatia</a>.&nbsp; From Athens, we already have posted some images of the&nbsp;<a href=""http://holylandphotos.org/browse.asp?SiteID=113"">Acropolis</a>, the&nbsp;<a href=""http://holylandphotos.org/browse.asp?SiteID=114"">Acropolis Museum</a>, and the&nbsp;<a href=""http://holylandphotos.org/browse.asp?SiteID=116"">Agora</a>.</p>",,,,,3,2,,Greece1.jpg,"Greece, South, Islands, North Map Maps",,18,
5,2,North,"<p>Sites found in the NORTH are located in the area including and north of the Jezreel and Harod Valleys. Regions included are: the <a href=""browse.asp?SubRegionID=27"">Golan Heights</a>; <a href=""browse.asp?SubRegionID=40"">Huleh Valley</a>; Upper Galilee; Plain of Acco; Lower Galilee; <a href=""browse.asp?SubRegionID=7"">Sea of Galilee</a>; <a href=""browse.asp?SubRegionID=35"">Jezreel Valley</a> and the Harod Valley.</p>

<p>Click on the left navigation column.</p>",,,,,1,3,,NorthIsraelMap2.jpg,"Israel North Map Maps, Galilee",,1,1
6,2,Central,"<p>The CENTRAL region is the area south of the Jezreel and Harod Valleys, but north of a line running from Gaza to Beersheba to Masada &#8212; on the shore of the Salt Sea.</p>

<p>Regions included are: Mount Carmel; <a href=""browse.asp?SubRegionID=25"">Sharon Plain</a>; Philistine Plain; Hill Countries of Manasseh, <a href=""browse.asp?SubRegionID=43"">Hill Countries of Ephraim</a>, <a href=""browse.asp?SubRegionID=44"">Benjamin</a>, and <a href=""browse.asp?SubRegionID=8"">Judah</a>; the western side of the <a href=""browse.asp?SubRegionID=26"">Jordan Valley</a>; the western side of the&#160;<a href=""go.asp?s=175"">Dead Sea</a> ; and the <a href=""browse.asp?SubRegionID=45"">Wilderness of Judah</a>. <a href=""browse.asp?SubRegionID=28"">Jerusalem</a> is a separate sub category.</p>
",,,,,2,3,,IsraelCentral2.jpg,"Central, Israel, Judah, Sharon Plain, Jordan, Jerusalem, Shephelah, Ephraim, Benjamin, Dead Sea, Map Maps",,3,1
7,3,Western Turkey,"<p>
	Western Turkey will include sites west of a (roughly) north south line from Istanbul/Iznik to Pamukkale to just west of Antalya.</p>
<p>
	The sites&nbsp;marked by&nbsp;green dots are the seven churches of Revelation (1-3).</p>
<p>
	Sites to eventually be included in this category include at least the following: <a href=""browse.asp?SiteID=58"">Alexandria Troas</a>,&nbsp;<a href=""go.asp?s=184"">Andriake</a> , Aphrodisias, <a href=""browse.asp?ImageID=TWNAAS02&amp;SiteID=46"">Assos</a>, Bin Tepe, Bodrum, <a href=""browse.asp?SiteID=55"">Colossae</a>, <a href=""browse.asp?SiteID=71"">Didyma</a>,&nbsp;<a href=""go.asp?s=89"">Ephesus</a>,&nbsp;<a href=""go.asp?s=80"">Euromos</a>,&nbsp;<a href=""go.asp?s=192"">Hierapolis</a> , <a href=""go.asp?s=203"" target=""_blank"">Istanbul</a>, <a href=""go.asp?s=459"" target=""_blank"">Knidos</a>, Labranda,&nbsp;<a href=""browse.asp?SiteID=100"">Laodicea</a>, <a href=""go.asp?s=587"" target=""_blank"">Letoon</a>, Magnesia on the Meander,&nbsp;<a href=""browse.asp?SiteID=108"">Miletus</a>,&nbsp;<a href=""go.asp?s=185"">Myra</a>, Nicea,&nbsp;<a href=""go.asp?s=189"">Patara</a> ,&nbsp;<a href=""browse.asp?SiteID=104"">Pergamum</a>, <a href=""go.asp?s=191"" target=""_blank"">Phaselis</a>, <a href=""browse.asp?SiteID=74"">Philadelphia</a>,&nbsp;<a href=""go.asp?s=133"">Priene</a> , <a href=""browse.asp?SiteID=76"">Sardis</a>,&nbsp;<a href=""browse.asp?SiteID=99"">Smyrna/Izmir</a>, <a href=""browse.asp?SiteID=101"">Smyrna Artifacts</a>, Stratonikya, <a href=""browse.asp?SiteID=75"">Thyatira</a>, Troy, and&nbsp;<a href=""go.asp?s=190"">Xanthos</a> <span>.</span></p>
",,,,,1,3,,WesternTurkeyMap3.jpg,"Western Turkey, Northern Aegean, Central & Southern Aegean Map Maps",,16,17
8,3,Central Turkey,"<p>
	Central Turkey includes sites east of a (roughly) north south line from Istanbul, to Iznik, to Pamukkale, to a point just west of Antalya. Its arbitrary eastern boundary is a line drawn from north to south from Samsun, on the shore of the Black Sea, south to Sivas, down to Antakya (Antioch on the Orontes) in the northeastern corner of the Mediterranean Sea.</p>
<p>
	Sites to eventually be included in this category include at least the following: Alacahuyuk, <a href=""go.asp?s=392"">Ankara</a>, <a href=""go.asp?s=347"">Antalya</a>, <a href=""go.asp?s=344"">Antioch on the Orontes</a>, <a href=""browse.asp?SiteID=54"">Aspendos</a>, Cappadocia, the <a href=""browse.asp?SiteID=63"">Cilician Gates</a>, <a href=""go.asp?s=56"" target=""_blank"">Derbe</a>, <a href=""browse.asp?ImageID=TCSCKY01&amp;SiteID=49"">Iconium </a>(Konya), Kremna, <a href=""browse.asp?SiteID=48"">Lystra</a>, <a href=""browse.asp?SiteID=52"">Perge</a>, <a href=""browse.asp?SiteID=53"">Pisidian Antioch</a>, Sagalossos, <a href=""browse.asp?SiteID=62"">Tarsus</a>, Termessos.</p>
",,,,,2,3,,PergeTarsusPA.jpg,"Central, South, Mediterranean, Coast, Map, Maps",,17,17
9,2,South,<P>Click on the left navigation column to visit.</P>,,,,,3,3,,IsraelSouth.jpg,"Israel, South, Negev Map Maps",,18,1
10,3,Eastern Turkey,<P>Please use the left navigation column.</P>,,,,,3,3,,EasternTurkey3.jpg,"Eastern, Turkey, Euphrates, Tigris, Map Maps",,19,17
