id,slug,title,country,ancestry,lat,lon,source,confidence,wikidata_id,notes,llm_lat,llm_lon,llm_confidence,llm_notes,llm_excluded
37,capernaum,Capernaum,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,32.881111111111,35.575,wikidata,high,Q59174,"matched 'Capernaum' (village at Lake Tiberias in the north of historical Judea, associated with Jesus) — archaeological/historic class; country match",,,,,
38,herodium,Herodium,Israel,Hill Country of Judah / Central / Israel / Browse by Countries,,,,none,,no match,31.938500,35.235800,high,"Herodium is a well-documented archaeological site; the description's distance clues (7.5 miles south of Jerusalem, 3.5 miles southeast of Bethlehem) align with its known location in the Judean hills.",
40,jericho-ot,Jericho OT,Israel,Jordan Valley / Central / Israel / Browse by Countries,31.781297,35.2388827,nominatim,low,,"matched 'יריחו, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9119001, ישראל'",31.871600,35.439700,high,"Tel es-Sultan is the archaeological site of Old Testament Jericho, located ~6 miles west of the Jordan River and north of the Dead Sea, with Ain es-Sultan spring nearby; coordinates place it at the kn",
41,kqatzrin-qasrin,K/Qatzrin Qasrin,Israel,Golan (4 folders) / North / Israel / Browse by Countries,30.6608842,35.2599004,nominatim,low,,"matched 'K, מועצה אזורית הערבה התיכונה, נפת באר שבע, מחוז הדרום, ישראל'",32.980800,35.774400,high,Katzrin is a well-known Talmudic village on the Golan Heights northeast of the Sea of Galilee with reconstructed ancient synagogue and buildings from the 4th-8th centuries AD.,
42,gethsemane,Gethsemane,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.779419,35.239425,wikidata,low,Q205333,matched 'Gethsemane' (garden at the foot of the Mount of Olives in Jerusalem) — country match,31.779419,35.239425,high,"Description precisely locates Gethsemane east of Temple Mount and Kidron Valley on Mount of Olives' western slope, with Church of All Nations as the modern landmark; coordinates align with this geogra",
45,western-wall,Western Wall,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.776947222222223,35.23425,wikidata,high,Q134821,matched 'Western Wall' (holy site of Judaism in Jerusalem) — archaeological/historic class; country match,,,,,
46,garden-tomb-gordons-calvary,Garden Tomb & Gordon's Calvary,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.8191347,34.9901838,nominatim,low,,"matched 'Garden, דוד בן גוריון, המושבה הגרמנית, רובע העיר התחתית, חיפה, נפת חיפה, מחוז חיפה, 3505526, ישראל'",32.841900,35.230800,high,"Garden Tomb and Gordon's Calvary are well-documented Protestant sites north of Jerusalem's Old City, discovered in 1867 and maintained by the Garden Tomb Association; the coordinates place it at the c",
47,family-tomb-of-herod,Family Tomb of Herod,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7803178,35.2321397,nominatim,low,,"matched 'التكية النمساوية للعائلة المقدسة, 37, ויה דולורוזה, הרובע המוסלמי, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושל'",31.768300,35.224900,high,Description clearly places the tomb west of the Old City and just east of the King David Hotel; this specific landmark combination uniquely identifies the Family Tomb of Herod near Mamilla.,
48,rabbinic-tunnels,Rabbinic Tunnels,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match,31.737300,35.235300,high,The Western Wall Tunnels run along the Western Wall of the Temple Mount in Jerusalem's Old City; the main entrance/starting point is near Wilson's Arch on the north side of the Western Wall.,
49,views-of-sea-of-galilee,Views of Sea of Galilee,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,,,,none,,no match,,,excluded,"This is a panoramic collection of views across an entire large lake (13×7.5 miles), not a single geographic point.",not_a_single_point
